[2023-01-13 10:27:08,526: WARNING] Устройство с адресом 1 недоступно
[2023-01-13 10:27:09,568: WARNING] Повторное чтение данных устройства с адресом 1
[2023-01-13 10:27:10,615: WARNING] Устройство с адресом 1 недоступно
[2023-01-13 10:27:11,666: WARNING] Повторное чтение данных устройства с адресом 1
[2023-01-13 10:27:12,728: WARNING] Устройство с адресом 1 недоступно
[2023-01-13 10:27:13,767: WARNING] Повторное чтение данных устройства с адресом 1
[2023-01-13 10:27:14,803: WARNING] Устройство с адресом 1 недоступно
[2023-01-13 10:27:15,843: WARNING] Повторное чтение данных устройства с адресом 1
[2023-01-13 10:27:16,905: WARNING] Устройство с адресом 1 недоступно
[2023-01-13 10:27:17,937: WARNING] Повторное чтение данных устройства с адресом 1
[2023-01-13 10:27:19,000: WARNING] Устройство с адресом 1 недоступно
[2023-01-13 10:27:20,029: WARNING] Повторное чтение данных устройства с адресом 1
[2023-01-13 10:27:21,107: WARNING] Устройство с адресом 1 недоступно
[2023-01-13 10:27:22,142: WARNING] Повторное чтение данных устройства с адресом 1
[2023-01-13 10:27:23,181: WARNING] Устройство с адресом 1 недоступно
[2023-01-13 10:27:24,211: WARNING] Повторное чтение данных устройства с адресом 1
[2023-01-13 10:27:25,250: WARNING] Устройство с адресом 1 недоступно
[2023-01-13 10:27:26,288: WARNING] Повторное чтение данных устройства с адресом 1
[2023-01-13 10:27:27,312: WARNING] Устройство с адресом 1 недоступно
[2023-01-13 10:27:28,348: WARNING] Повторное чтение данных устройства с адресом 1
[2023-01-13 10:27:29,394: WARNING] Устройство с адресом 1 недоступно
[2023-01-13 10:27:30,429: WARNING] Повторное чтение данных устройства с адресом 1
[2023-01-13 10:27:31,491: WARNING] Устройство с адресом 1 недоступно
[2023-01-13 10:27:32,557: WARNING] Повторное чтение данных устройства с адресом 1
[2023-01-13 10:27:33,619: WARNING] Устройство с адресом 1 недоступно
[2023-01-13 10:27:34,684: WARNING] Повторное чтение данных устройства с адресом 1
[2023-01-13 10:27:35,746: WARNING] Устройство с адресом 1 недоступно
[2023-01-13 10:27:36,781: WARNING] Повторное чтение данных устройства с адресом 1
[2023-01-13 10:27:37,859: WARNING] Устройство с адресом 1 недоступно
[2023-01-13 10:27:38,866: WARNING] Повторное чтение данных устройства с адресом 1
[2023-01-13 10:27:39,909: WARNING] Устройство с адресом 1 недоступно
[2023-01-13 10:27:40,947: WARNING] Повторное чтение данных устройства с адресом 1
[2023-01-13 10:27:41,994: WARNING] Устройство с адресом 1 недоступно
[2023-01-13 10:27:43,031: WARNING] Повторное чтение данных устройства с адресом 1
[2023-01-13 10:27:44,078: WARNING] Устройство с адресом 1 недоступно
[2023-01-13 10:27:45,158: WARNING] Повторное чтение данных устройства с адресом 1
[2023-01-13 10:27:46,206: WARNING] Устройство с адресом 1 недоступно
[2023-01-13 10:27:47,259: WARNING] Повторное чтение данных устройства с адресом 1
[2023-01-13 10:27:48,336: WARNING] Устройство с адресом 1 недоступно
[2023-01-13 10:27:49,386: WARNING] Повторное чтение данных устройства с адресом 1
[2023-01-13 10:27:50,434: WARNING] Устройство с адресом 1 недоступно
[2023-01-13 10:27:51,468: WARNING] Повторное чтение данных устройства с адресом 1
[2023-01-13 10:27:52,514: WARNING] Устройство с адресом 1 недоступно
[2023-01-13 10:27:53,598: WARNING] Повторное чтение данных устройства с адресом 1
[2023-01-13 10:27:54,660: WARNING] Устройство с адресом 1 недоступно
[2023-01-13 10:27:55,729: WARNING] Повторное чтение данных устройства с адресом 1
[2023-01-13 10:27:56,791: WARNING] Устройство с адресом 1 недоступно
[2023-01-13 10:27:57,824: WARNING] Повторное чтение данных устройства с адресом 1
[2023-01-13 10:27:58,887: WARNING] Устройство с адресом 1 недоступно
[2023-01-13 10:27:59,920: WARNING] Повторное чтение данных устройства с адресом 1
[2023-01-13 10:28:00,961: WARNING] Устройство с адресом 1 недоступно
[2023-01-13 10:28:02,003: WARNING] Повторное чтение данных устройства с адресом 1
[2023-01-13 10:28:03,032: WARNING] Устройство с адресом 1 недоступно
[2023-01-13 10:28:04,068: WARNING] Повторное чтение данных устройства с адресом 1
[2023-01-13 10:28:05,088: WARNING] Устройство с адресом 1 недоступно
[2023-01-13 10:28:06,117: WARNING] Повторное чтение данных устройства с адресом 1
[2023-01-13 10:28:07,167: WARNING] Устройство с адресом 1 недоступно
[2023-01-13 10:28:08,209: WARNING] Повторное чтение данных устройства с адресом 1
[2023-01-13 10:28:09,228: WARNING] Устройство с адресом 1 недоступно
[2023-01-13 10:28:10,259: WARNING] Повторное чтение данных устройства с адресом 1
[2023-01-13 10:28:11,303: WARNING] Устройство с адресом 1 недоступно
[2023-01-13 10:28:12,345: WARNING] Повторное чтение данных устройства с адресом 1
[2023-01-13 10:28:13,386: WARNING] Устройство с адресом 1 недоступно
[2023-01-13 10:28:14,436: WARNING] Повторное чтение данных устройства с адресом 1
[2023-01-13 10:28:15,487: WARNING] Устройство с адресом 1 недоступно
[2023-01-13 10:28:16,530: WARNING] Повторное чтение данных устройства с адресом 1
[2023-01-13 10:28:17,578: WARNING] Устройство с адресом 1 недоступно
[2023-01-13 10:28:18,612: WARNING] Повторное чтение данных устройства с адресом 1
[2023-01-13 10:28:19,637: WARNING] Устройство с адресом 1 недоступно
[2023-01-13 10:28:20,676: WARNING] Повторное чтение данных устройства с адресом 1
[2023-01-13 10:28:21,722: WARNING] Устройство с адресом 1 недоступно
[2023-01-13 10:28:22,758: WARNING] Повторное чтение данных устройства с адресом 1
[2023-01-13 10:28:23,804: WARNING] Устройство с адресом 1 недоступно
[2023-01-13 10:28:24,817: WARNING] Повторное чтение данных устройства с адресом 1
[2023-01-13 10:28:25,830: WARNING] Устройство с адресом 1 недоступно
[2023-01-13 10:28:26,863: WARNING] Повторное чтение данных устройства с адресом 1
[2023-01-13 10:28:27,910: WARNING] Устройство с адресом 1 недоступно
[2023-01-13 10:28:28,962: WARNING] Повторное чтение данных устройства с адресом 1
[2023-01-13 10:28:30,014: WARNING] Устройство с адресом 1 недоступно
[2023-01-13 10:28:31,064: WARNING] Повторное чтение данных устройства с адресом 1
[2023-01-13 10:28:32,126: WARNING] Устройство с адресом 1 недоступно
[2023-01-13 10:28:33,152: WARNING] Повторное чтение данных устройства с адресом 1
[2023-01-13 10:28:34,199: WARNING] Устройство с адресом 1 недоступно
[2023-01-13 10:28:35,239: WARNING] Повторное чтение данных устройства с адресом 1
[2023-01-13 10:28:36,302: WARNING] Устройство с адресом 1 недоступно
[2023-01-13 10:28:37,337: WARNING] Повторное чтение данных устройства с адресом 1
[2023-01-13 10:28:38,384: WARNING] Устройство с адресом 1 недоступно
[2023-01-13 10:28:39,439: WARNING] Повторное чтение данных устройства с адресом 1
[2023-01-13 10:28:40,493: WARNING] Устройство с адресом 1 недоступно
[2023-01-13 10:28:41,534: WARNING] Повторное чтение данных устройства с адресом 1
[2023-01-13 10:28:42,581: WARNING] Устройство с адресом 1 недоступно
[2023-01-13 10:28:43,636: WARNING] Повторное чтение данных устройства с адресом 1
